country,main_cause,project_name,latitude,longitude,magnitude,year
China,Fracking,"N201-H18 well pad, Changning shale gas block, Xingwen County, Sichuan Province",28.195818,104.695619,4.8,2019
UK,Conventional Oil and Gas,Horse Hill 1 (Newdigate earthquake sequence),51.177935,-0.20953,3.1,2019
UK,Mining,"Boulby mine, North Yorkshire",54.553457,-0.8243,1.2,2019
UK,Fracking,Preston New Road,53.78784,-2.951047,2.9,2019
Finland,Geothermal,"OTN3 well, St1 Geothermal Project, Otaniemi, Espoo",60.188396,24.827842,1.9,2018
Poland,Mining,"Zofiowka coal mine, Jastrzebie-Zdroj",49.966225,18.565302,3.4,2018
Canada,Fracking,16 km SW Fort St. John,56.100311,-120.899253,4.5,2018
China,Fracking,"N201-H24 well pad, Changning shale gas block, Xingwen County, Sichuan Province",28.211,104.933856,5.2,2018
USA,Fracking,"McClain County region, Oklahoma",35.014074,-97.662386,2.6,2017
USA,Fracking,"Wolf 2H well, Noble County, Ohio",39.904438,-81.281086,3.7,2017
China,Fracking,"H7 well pad, Shangluo site, Zhaotong field",28.130039,104.752801,4.67,2017
USA,Fracking,"Donato well, Monroe County, Ohio",39.644683,-81.19245,3,2017
Botswana,Coal Bed Methane (CBM),Selemo and Lesedi pilot pods,-22.586373,25.84591,6.3,2017
North Korea,Nuclear explosions,6th nuclear test (DPRK-6),41.3429,129.036,4.1,2017
Iran,Groundwater extraction,Iran-Iraq border earthquake,34.91,45.96,7.3,2017
South Korea,Geothermal,Pohang (PX-2),36.106728,129.378262,5.5,2017
USA,Fracking,"North Grady County region, Oklahoma",35.000464,-97.873212,1.5,2016
USA,Fracking,"South Canadian County region, Oklahoma",35.566628,-98.068106,2,2016
USA,Fracking,"South Grady County region, Oklahoma",34.852839,-97.777676,2,2016
USA,Fracking,"North Grady County region, Oklahoma",35.015364,-97.830896,2.2,2016
USA,Fracking,"Woodward County region, Oklahoma",36.188489,-99.113976,2.2,2016
USA,Fracking,"South Grady County region, Oklahoma",34.895735,-97.691013,2.3,2016
USA,Fracking,"Carter County region, Oklahoma",34.252063,-97.465075,2.3,2016
USA,Fracking,"North Canadian County region, Oklahoma",35.710625,-98.028702,2.5,2016
USA,Fracking,"South Canadian County region, Oklahoma",35.436339,-97.917906,2.6,2016
USA,Fracking,"Conotton well, Harrison County, Ohio",40.421579,-81.165447,2.7,2016
USA,Fracking,"Kingfisher County region, Oklahoma",36.071358,-97.883173,2.8,2016
USA,Fracking,"Kingfisher County region, Oklahoma",36.071358,-97.883173,2.8,2016
USA,Fracking,"Kingfisher County region, Oklahoma",36.071358,-97.883173,2.8,2016
USA,Fracking,"Major County region, Oklahoma",36.217113,-98.927435,2.8,2016
USA,Fracking,"Blaine County region, Oklahoma",35.755979,-98.613256,3,2016
USA,Fracking,"North Grady County region, Oklahoma",35.007685,-97.873263,3,2016
USA,Fracking,"Woodward County region, Oklahoma",36.217584,-99.247328,3,2016
USA,Fracking,"Kay County region, Oklahoma",36.603779,-97.306468,3.1,2016
USA,Fracking,"Major County region, Oklahoma",36.188017,-98.850922,3.1,2016
USA,Fracking,"Blaine County region, Oklahoma",35.754782,-98.527544,3.2,2016
China,Fracking,Weiyuan site,29.521175,104.829375,3.4,2016
Canada,Fracking,Fox Creek (SS17),54.392986,-117.260448,4.1,2016
USA,Waste fluid disposal,"Fairview, Oklahoma",36.48,-98.73,5.1,2016
South Korea,Mining,"Taeyoung EMC, Geummae-ri, Wonnam-myeon, Uljin-gun, Gyeongsangbuk-do",36.927772,129.367826,4.4,2016
North Korea,Nuclear explosions,4th nuclear test (DPRK-4),41.302293,129.076599,2.16,2016
USA,Fracking,"Edinburg (North Beaver Township), Pennsylvania",40.991088,-80.432348,1.9,2016
France,Conventional Oil and Gas,Lacq (Arette),43.5191,-0.5869,3.9,2016
Poland,Fracking,Wysin Site (Well 2H),54.094215,18.306012,0.5,2016
Poland,Fracking,Wysin Site (Well 3H),54.093609,18.305638,1,2016
USA,Waste fluid disposal,"Pawnee, Oklahoma",36.431,-96.931,5.8,2016
North Korea,Nuclear explosions,5th nuclear test (DPRK-5),41.302072,129.082208,1.74,2016
USA,Fracking,"Wheeler well, Guernsey County, Ohio",40.053925,-81.264846,2.3,2016
USA,Fracking,"Vozar well, Harrison County, Ohio",40.197555,-81.208553,0.7,2015
USA,Fracking,"North Grady County region, Oklahoma",35.000396,-97.88275,1.9,2015
USA,Fracking,"North Canadian County region, Oklahoma",35.755602,-97.965974,2.1,2015
USA,Fracking,"Major County region, Oklahoma",36.216992,-98.824998,2.2,2015
USA,Fracking,"North Canadian County region, Oklahoma",35.813409,-98.025493,2.3,2015
USA,Fracking,"South Grady County region, Oklahoma",34.811209,-97.753118,2.3,2015
USA,Fracking,"Kay County region, Oklahoma",36.639161,-97.406891,2.4,2015
USA,Fracking,"North Stephens County region, Oklahoma",34.520735,-97.75741,2.4,2015
USA,Fracking,"Pittsburgh County region, Oklahoma",34.811744,-96.10656,2.4,2015
USA,Fracking,"Hamilton well, Harrison County, Ohio",40.224783,-81.178579,2.6,2015
USA,Fracking,"Blaine County region, Oklahoma",35.782607,-98.544454,2.7,2015
USA,Fracking,"Carter County region, Oklahoma",34.30292,-97.582883,2.7,2015
USA,Fracking,"North Stephens County region, Oklahoma",34.477498,-97.753006,2.7,2015
Canada,Fracking,Fox Creek (SS15),54.3403,-117.5639,2.8,2015
Canada,Fracking,Fox Creek (SS11),54.384492,-117.399624,2.9,2015
Canada,Fracking,Fox Creek (SS13),54.3096,-117.620251,2.9,2015
USA,Fracking,"Major County region, Oklahoma",36.1868,-98.820458,2.9,2015
Canada,Fracking,Fox Creek (SS16),54.326056,-116.706017,3,2015
Canada,Fracking,Fox Creek (SS14),54.310867,-117.606707,3.1,2015
Canada,Fracking,Fox Creek (SS12),54.461791,-117.265879,3.2,2015
Canada,Fracking,Fox Creek (SS7) (Well Pad 3),54.35363,-117.320114,3.7,2015
Canada,Fracking,Fox Creek (SS8) (Well Pad 2),54.497183,-117.382038,2.9,2015
Canada,Fracking,Fox Creek (SS6) Alberta (Waskahigan and McKinley fields) (Well Pad 1),54.438115,-117.340393,3.9,2015
South Korea,Mining,"Taeyoung EMC, Gangwon-do, Samcheok city, Gangwon province",37.275148,129.095661,4.2,2015
Canada,Fracking,Fox Creek (Well Pad 5),54.434,-117.526,2.9,2015
Canada,Fracking,Fox Creek (SS9) (Well Pad 6),54.354341,-117.221553,3.2,2015
Canada,Fracking,Fox Creek (Well Pad 4),54.474,-117.226,2.7,2015
Nepal,Groundwater extraction,"Gorkha earthquake, Indo-Gangetic plains",28.147,84.708,7.8,2015
USA,Waste fluid disposal,"Venus, Texas",32.435985,-97.104581,4,2015
Lithuania,Geothermal,Curonian Lagoon,55.44,21.49,2.6,2015
Canada,Fracking,Fox Creek (SS10),54.157247,-116.886296,3.9,2015
Canada,Fracking,"116 km WNW of Fort St. John (well 10 in Mahani et al., 2017)",57.013,-122.154,4.6,2015
UK,Conventional Oil and Gas,Kirby Misperton field,54.200432,-0.819422,0.7,2015
China,Mining,"Pingyi County, Shandong Province",35.502506,117.635844,4,2015
USA,Waste fluid disposal,"Harper County, Kansas",37.195257,-97.944021,4.1,2015
USA,Fracking,"Davidson well, Harrison County, Ohio",40.210247,-81.208832,1.1,2014
USA,Fracking,"Tarbert well, Harrison County, Ohio",40.2017,-81.179078,1.8,2014
USA,Fracking,"Love County region, Oklahoma",33.983138,-97.287173,2,2014
USA,Fracking,"Southern Stephens County region, Oklahoma",34.402964,-97.630606,2,2014
USA,Fracking,"Kingfisher County region, Oklahoma",36.202216,-97.822049,2,2014
USA,Fracking,"Kingfisher County region, Oklahoma",36.202216,-97.822049,2,2014
USA,Fracking,"Love County region, Oklahoma",33.966997,-97.379505,2.1,2014
USA,Fracking,"Love County region, Oklahoma",33.974382,-97.380298,2.1,2014
USA,Fracking,"Kay County region, Oklahoma",36.657903,-97.315924,2.1,2014
USA,Fracking,"Carter County region, Oklahoma",34.245961,-97.485776,2.1,2014
USA,Fracking,"Love County region, Oklahoma",34.012491,-97.281175,2.2,2014
USA,Fracking,"Love County region, Oklahoma",33.997265,-97.285677,2.2,2014
USA,Fracking,"Love County region, Oklahoma",34.099378,-97.482806,2.5,2014
USA,Fracking,"Southern Stephens County region, Oklahoma",34.407283,-97.617156,2.5,2014
USA,Fracking,"North Grady County region, Oklahoma",35.031203,-97.796732,2.6,2014
USA,Fracking,"Kay County region, Oklahoma",36.623528,-97.260437,2.8,2014
USA,Fracking,"North Canadian County region, Oklahoma",35.667913,-98.164575,2.8,2014
USA,Fracking,"North Stephens County region, Oklahoma",34.493039,-97.700905,2.8,2014
USA,Fracking,"Love County region, Oklahoma",34.094363,-97.424022,2.9,2014
Canada,Waste fluid disposal,Pintail (Montney Trend),56.330068,-121.867153,3.1,2014
Canada,Fracking,Fox Creek (SS3),54.389222,-117.214005,3.2,2014
Canada,Fracking,Fox Creek (SS5),54.537046,-117.773923,3.2,2014
USA,Fracking,"Love County region, Oklahoma",34.0958,-97.43437,3.2,2014
USA,Waste fluid disposal,"Guthrie, Oklahoma",35.771411,-97.51963,4,2014
USA,Fracking,Texas (Cluster C),35.88,-100.5,4.2,2014
Canada,Fracking,Fox Creek (SS2),54.475904,-117.32051,3.18,2014
Canada,Fracking,Caribou (Montney Trend),57.297666,-122.672925,3.2,2014
USA,Fracking,"Poland Township, Ohio",41.013706,-80.536243,3,2014
USA,Fracking,"Kirkwood A wells, Belmont County, Ohio",40.078669,-81.224506,2.6,2014
North Korea,Nuclear explosions,3rd nuclear test (DPRK-3),41.294886,129.07936,2.53,2014
USA,Waste fluid disposal,"Greeley, Colorado",40.46,-104.65,3.2,2014
USA,Mining,"Morenci Mine, Arizona",33.106668,-109.361804,5.2,2014
USA,Fracking,"Eagleton 1-29, Oklahoma",34.095728,-97.434442,3.2,2014
South Africa,Mining,Moab Khotsong near Orkney,-26.987341,26.802192,5.5,2014
Brazil,Water reservoir impoundment,Jirau,-9.266289,-64.647841,3.2,2014
USA,Waste fluid disposal,"Milan, Summer County, Kansas",37.259705,-97.674084,4.9,2014
USA,Waste fluid disposal,"Trumbull County, Ohio",41.1955,-80.775,2.1,2014
Costa Rica,Water reservoir impoundment,Pirr�s Reservoir,9.642956,-84.102296,4.8,2014
USA,Waste fluid disposal,"Cushing, Oklahoma",35.901018,-96.806531,4.3,2014
USA,Fracking,"Carter County region, Oklahoma",34.360909,-97.564754,1.8,2013
USA,Fracking,"Love County region, Oklahoma",34.07548,-97.35717,2,2013
USA,Fracking,"Love County region, Oklahoma",34.057503,-97.35609,2,2013
USA,Fracking,"Carter County region, Oklahoma",34.258222,-97.531298,2,2013
USA,Fracking,"Pittsburgh County region, Oklahoma",34.754515,-96.122188,2.1,2013
USA,Fracking,"McClain County region, Oklahoma",35.014422,-97.521602,2.2,2013
USA,Fracking,"McClain County region, Oklahoma",34.937831,-97.590237,2.3,2013
USA,Fracking,"North Grady County region, Oklahoma",35.073754,-97.839183,2.4,2013
USA,Fracking,"Southern Stephens County region, Oklahoma",34.402138,-97.616287,2.5,2013
USA,Fracking,"Gilmer County, West Virginia",38.848801,-80.945552,2.7,2013
USA,Fracking,"North Grady County region, Oklahoma",35.117277,-97.901028,2.8,2013
Canada,Fracking,"Fox Creek (SS1, SS4)",54.507571,-117.31829,3.3,2013
Australia,Mining,Cadia,-33.458452,148.99566,3.4,2013
Poland,Water reservoir impoundment,Czorsztyn Lake,49.419785,20.324127,3.5,2013
Poland,Mining,Rudna mine,51.500834,16.108181,4.2,2013
Australia,Mining,Olympia Dam,-30.442015,136.835009,3.5,2013
Spain,Groundwater extraction,Jaen (Giribaile reservoir),38.091572,-3.5119,3.72,2013
Canada,Fracking,Septimus (Montney Trend),56.079697,-120.931332,4.2,2013
Russia,Mining,"Bachatsky, Kuzbass",54.283954,86.160225,6.1,2013
France,Geothermal,"Rittersshoffen, Alsace",48.896791,7.938518,1.6,2013
Switzerland,Geothermal,St. Gallen,47.415719,9.329338,3.3,2013
Canada,Fracking,Beg-Town (Montney Trend),56.903922,-122.030021,3.4,2013
Spain,Conventional Oil and Gas,Castor,40.38027,0.700902,4.3,2013
Canada,Fracking,Doe-Dawson (Montney Trend),55.903271,-120.321329,2.8,2013
Canada,Fracking,Altares (Montney Trend),56.236478,-122.062024,2.2,2013
USA,Conventional Oil and Gas,"Azle/Reno,Texas",32.992842,-97.58518,3.6,2013
Mexico,Water reservoir impoundment,"Cuchillo, Nuevo Le�n",25.725895,-99.3143,4.5,2013
China,Water reservoir impoundment,Three Gorges,30.823099,111.003113,5.1,2013
Netherlands,Conventional Oil and Gas,Bergermeer,52.650573,4.716736,0.7,2013
USA,Fracking,"Ryser well, Harrison County, Ohio",40.215713,-81.200345,2.2,2013
USA,Fracking,"North Grady County region, Oklahoma",35.059089,-97.817083,1.5,2012
USA,Fracking,"South Canadian County region, Oklahoma",35.508624,-98.069009,1.6,2012
USA,Mining,"Oxy Geismar Cavern, Napoleon salt dome, Assumption Parish, Louisiana",30.010584,-91.143366,1.6,2012
USA,Fracking,"North Grady County region, Oklahoma",35.088392,-97.786503,1.7,2012
USA,Fracking,"North Grady County region, Oklahoma",35.118035,-97.792066,2,2012
USA,Fracking,"Garvin County region, Oklahoma",34.56229,-97.454388,2.1,2012
USA,Fracking,"Coal County region, Oklahoma",34.608945,-96.425832,2.5,2012
USA,Fracking,"Garvin County region, Oklahoma",34.558665,-97.470027,2.5,2012
USA,Fracking,"McClain County region, Oklahoma",35.102834,-97.506407,2.6,2012
USA,Fracking,"Love County region, Oklahoma",34.057623,-97.373799,2.8,2012
USA,Fracking,"McClain County region, Oklahoma",34.993134,-97.694477,2.8,2012
USA,Fracking,"South Canadian County region, Oklahoma",35.550838,-98.074833,2.8,2012
